"","Katlengo_Contigs","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7"
"161","1B45_contig_53",0.000102222650816812,5.97193970121626e-05,5.52286714644731e-05,5.02331809519426e-05,9.97835484762921e-05,9.6460404851034e-06,2.51920471629384e-05
"162","1B45_contig_54",0.000139776111284149,4.8861324828133e-05,2.82869456049108e-05,3.10906863438066e-05,0.000161054148417875,1.25823992115222e-05,2.51920471629384e-06
"163","1B45_contig_55",0.000155306790315721,9.7722649656266e-05,0.000133352743566008,0.000294274253697009,0.000331015546513249,0.000147561730671536,9.06913697865783e-05
"164","1B45_contig_56",0.000446157447731111,0.000626338515787257,0.000750454471277526,0.000691136750637985,0.00103559236258759,0.000436362977622528,0.000475854461766379
"165","1B45_contig_57",0.000220104910567037,0.000190694609334913,0.00015743561158762,0.000153122284081797,0.000485969542308911,0.000111296739455792,9.06913697865783e-05
"166","1B45_contig_58",0.000507335515031355,0.000216260442996052,0.000306531266990566,0.000292862112052478,0.000557246245140313,6.65069672609028e-05,0.000193978763154626
"167","1B45_contig_59",0.000357584297616126,0.00024973566023268,0.000249086946708769,0.000283702512887235,0.000544433045195208,0.000422409116386815,0.000221690015033858
"168","1B45_contig_6",0.000921554747966462,0.000694916619777892,0.000885930378959707,0.000808357844938972,0.00194280817490953,0.000605163527383165,0.000503840943258768
"169","1B45_contig_60",5.69458231157643e-05,0.000184587227128502,0.000165680681400192,0.000112703737996299,0.000457567205249402,0.000107849136098761,5.79417084747583e-05
"170","1B45_contig_61",0.000183779701873603,5.15758428741404e-05,5.25328989805486e-05,4.08065258262462e-05,0.000168056502696913,7.18994240658409e-06,1.00768188651754e-05
"171","1B45_contig_62",9.31840741894325e-05,0.000172390126343795,0.000159155415868391,0.000102987898513859,0.000270617454656525,9.52667368872392e-05,9.77710153154448e-05
"172","1B45_contig_63",5.88323573897354e-05,2.98596985060813e-05,3.83894261780932e-05,3.10906863438066e-05,0.000168056502696913,1.79748560164602e-06,5.03840943258768e-06
"173","1B45_contig_64",6.72996091368124e-05,7.87210233342143e-05,7.47583562415499e-05,4.97629357319921e-05,0.000218823571219939,3.77471976345665e-05,2.01536377303507e-05
"174","1B45_contig_65",8.02418416631224e-05,5.42903609201478e-05,3.63689300634567e-05,7.96698837560044e-05,0.000201317685522344,1.43798848131682e-05,7.55761414888152e-06
"175","1B45_contig_66",0.000600519589220787,5.42903609201478e-06,1.21229766878189e-05,5.82950368946374e-06,2.62588285463927e-05,8.98742800823011e-06,2.51920471629384e-06
"176","1B45_contig_67",7.24765021473364e-05,1.62871082760443e-05,4.04099222927297e-06,9.71583948243956e-06,8.05270742089375e-05,3.59497120329204e-06,5.03840943258768e-06
"177","1B45_contig_68",0.000149361187997833,0.000139731811766785,0.000183642064802996,0.000221234822385376,0.000328045429165509,8.64990227399869e-05,0.000101197139374903
"178","1B45_contig_69",4.65920370947163e-05,8.14355413802217e-06,1.41434728024554e-05,3.88633579297582e-06,4.90164799532663e-05,3.41522264312744e-05,1.00768188651754e-05
"179","1B45_contig_7",0.00114443795296005,0.00146703717522221,0.0012798934801298,0.00163152044291058,0.00282707350457422,0.000903475896845301,0.000903125161937878
"180","1B45_contig_70",4.14151440841922e-05,5.42903609201478e-06,1.21229766878189e-05,2.91475184473187e-05,2.80094171161522e-05,0,0
"181","1B45_contig_71",1.81191255368341e-05,2.17161443680591e-05,6.06148834390945e-06,1.55453431719033e-05,4.02635371044687e-05,3.59497120329204e-06,5.03840943258768e-06
"182","1B45_contig_72",4.65920370947163e-05,5.42903609201478e-06,4.2294671143399e-06,0,2.45082399766331e-05,1.79748560164602e-06,0
"183","1B45_contig_73",5.17689301052403e-05,0,0,1.94316789648791e-06,7.00235427903804e-06,0,0
"184","1B45_contig_74",5.17689301052403e-06,1.35725902300369e-05,2.82869456049108e-05,4.85791974121978e-05,0.000154051794138837,2.26614988978115e-05,4.7864889609583e-05
"185","1B45_contig_75",2.07075720420961e-05,2.71451804600739e-06,0,1.94316789648791e-06,1.40047085580761e-05,0,0
"186","1B45_contig_76",2.84729115578822e-05,2.71451804600739e-06,4.04099222927297e-06,3.88633579297582e-06,4.02635371044687e-05,3.59497120329204e-06,5.03840943258768e-06
"187","1B45_contig_77",8.28302881683845e-05,2.71451804600739e-06,2.02049611463648e-06,3.88633579297582e-06,8.75294284879755e-06,0,0
"188","1B45_contig_78",1.29422325263101e-05,5.42903609201478e-06,4.04099222927297e-06,3.88633579297582e-06,1.40047085580761e-05,0,0
"189","1B45_contig_79",2.58844650526201e-05,2.71451804600739e-06,2.02049611463648e-06,1.94316789648791e-06,8.75294284879755e-06,0,0
"190","1B45_contig_8",0.00106126306715743,0.000878699844250551,0.000746086310416029,0.000900424730801507,0.00202959382753979,0.000948796423265879,0.000675146863966749
"191","1B45_contig_80",3.36498045684062e-05,5.42903609201478e-06,8.08198445854594e-06,1.94316789648791e-06,4.20141256742282e-05,0,2.51920471629384e-06
"192","1B45_contig_81",1.03537860210481e-05,0,4.24032203484117e-06,1.94316789648791e-06,8.75294284879755e-06,0,2.51920471629384e-06
"193","1B45_contig_82",1.03537860210481e-05,9.22936135642512e-05,2.5329270182458e-05,1.16590073789275e-05,7.00235427903804e-05,5.88285103069887e-06,1.00768188651754e-05
"194","1B45_contig_83",2.58844650526201e-05,2.98596985060813e-05,2.22254572610013e-05,1.36021752754154e-05,8.75294284879755e-05,7.18994240658409e-06,0
"195","1B45_contig_84",2.32960185473581e-05,0,0,1.94316789648791e-06,1.75058856975951e-06,0,0
"196","1B45_contig_85",1.29422325263101e-05,0,0,0,1.05035314185571e-05,0,0
"197","1B45_contig_86",1.29422325263101e-05,5.42903609201478e-06,4.04099222927297e-06,0,1.75058856975951e-06,0,0
"198","1B45_contig_87",2.32960185473581e-05,5.42903609201478e-06,8.08198445854594e-06,1.94316789648791e-06,1.40047085580761e-05,1.79748560164602e-06,2.51920471629384e-06
"199","1B45_contig_88",1.03537860210481e-05,0,6.06148834390945e-06,3.88633579297582e-06,1.22541199883166e-05,1.79748560164602e-06,0
"200","1B45_contig_89",2.58844650526201e-06,0,2.02049611463648e-06,0,0,0,0
"201","1B45_contig_9",0.000845600530968016,0.000648769812995766,0.000650641825015861,0.000771437654905701,0.00153289153029024,0.000704859809045284,0.000450937644216597
"202","1B45_contig_90",3.36498045684062e-05,1.08580721840296e-05,1.01024805731824e-05,1.36021752754154e-05,8.15256139170185e-05,2.33673128213983e-05,4.03072754607015e-05
"203","1B45_contig_91",2.58844650526201e-06,1.35725902300369e-05,6.06148834390945e-06,5.82950368946374e-06,5.25176570927853e-06,0,0
"204","1B45_contig_92",2.07075720420961e-05,0,0,0,5.25176570927853e-06,0,0
"205","1B45_contig_93",1.55306790315721e-05,8.14355413802217e-06,2.02049611463648e-06,0,1.75058856975951e-05,0,0
"206","1B45_contig_94",9.57725206946945e-05,0,2.02049611463648e-06,0,1.40047085580761e-05,0,0
"207","1B45_contig_95",0.000155306790315721,0,6.06148834390945e-06,0,8.75294284879755e-06,0,0
"208","1B45_contig_96",3.36498045684062e-05,0,2.02049611463648e-06,0,1.75058856975951e-05,0,0
"209","1B45_contig_97",0,2.71451804600739e-06,4.04099222927297e-06,0,5.25176570927853e-06,0,0
"210","1B45_contig_98",2.58844650526201e-06,2.71451804600739e-06,0,0,0,0,0
"211","1B45_contig_99",5.17689301052403e-06,2.71451804600739e-06,2.02049611463648e-06,0,1.75058856975951e-06,0,0
"212","3D13_contig_1",0.0019252104097074,0.00161861828956611,0.00202531789528945,0.00152998721405667,0.00433248043101095,0.000779678443064877,0.000853566449060238
"213","3D13_contig_10",0.000685938323894434,0.000533088671945742,0.000533910509047003,0.000497624119841449,0.00180668771281775,0.00047988969033859,0.000447763225376378
"214","3D13_contig_11",0.000538284221896062,0.00030288821873808,0.000437382898269402,0.000393424005696528,0.00120852820282353,0.000382472065143164,0.000244362857480503
"215","3D13_contig_12",0.000502158622020831,0.000375540993733639,0.000285400023295348,0.000289794698588052,0.00124762032643854,0.000184251065983481,0.000168786715991687
"216","3D13_contig_13",0.00120449215917597,0.000900937283206337,0.000820915067178778,0.000843218849646758,0.00184524849125364,0.000951456021927373,0.000670108454534162
"217","3D13_contig_14",0.00141905618067225,0.00150149657919184,0.0014954008858586,0.00170773276638725,0.00269623800784827,0.00146433523506928,0.00101277494655597
"218","3D13_contig_15",0.000575130025782119,0.00104327590719855,0.00100326668742862,0.00112535385950207,0.00213062656184614,0.000740102000498232,0.000621603214799144
"219","3D13_contig_16",0.000505921042894944,0.000545775558836292,0.000421012869050565,0.000367233587483263,0.00103562825818934,0.000338558758908646,0.000256958881061972
"220","3D13_contig_17",0.000763354519884085,0.000459633567432649,0.000535333227844819,0.000654886464901981,0.00117152085896176,0.000587959226711022,0.000422783477088451
"221","3D13_contig_18",0.000301333010519814,0.000232742080778977,0.000248571038952947,0.000261347466960624,0.000819779255746684,0.000241018798530908,0.000123647557541602
"222","3D13_contig_19",0.00136745364954613,0.00110628479940402,0.00138108858561723,0.00142929352536336,0.00187117694859887,0.00142106494074654,0.000871644831837669
"223","3D13_contig_2",0.00216391062725224,0.00205902574977079,0.00208759105111734,0.00238749466221038,0.00481755535122821,0.00189521430057744,0.00149963192369352
"224","3D13_contig_20",0.000225194845957795,0.000252450178278687,0.00019129311988089,0.000196354426852459,0.000731746022159475,0.000130217890630172,0.00013099864524728
"225","3D13_contig_21",0.000227783292463057,0.000179158191036488,0.000183787612096226,0.000218651682360642,0.000749699826381629,0.000236094290424988,0.000204055582019801
"226","3D13_contig_22",0.000170837469347293,0.000155605912915495,0.000111325855535651,6.6434502815217e-05,0.000350980050609975,4.67346256427966e-05,4.03072754607015e-05
"227","3D13_contig_23",0.000263496685430766,0.000258866059166963,0.000307636945671769,0.000288168211694705,0.000679975657736154,0.000151353096435256,0.000139298743692694
"228","3D13_contig_24",0.000396032315305088,0.000396936909169779,0.000388713320999522,0.000365037090769121,0.000920826444245122,0.000279931942594912,0.000243059356173394
"229","3D13_contig_25",0.000528043087073451,0.000578660561611501,0.000561231106615931,0.000666279965301783,0.00104129556306126,0.00055621345007569,0.000434458992734162
"230","3D13_contig_26",0.000528096497393831,0.000234800648947061,0.000247392670462659,0.000193517166346803,0.000570141723446777,0.000142017165629117,0.000159434544282001
"231","3D13_contig_27",0.000113891646231529,5.70048789661552e-05,7.67788523561864e-05,6.6067708480589e-05,0.000386880073916852,5.57220536510267e-05,2.01536377303507e-05
"232","3D13_contig_28",0.000720596434353708,0.00108111488128944,0.00137025988071812,0.00164337979027889,0.0018228662284735,0.00106118361291188,0.00079235086569242
"233","3D13_contig_29",0.000745805747454578,0.000584083491143139,0.000523062330988474,0.000517661635362986,0.000831672407003314,0.000599245565203855,0.000513917762123944
"234","3D13_contig_3",0.00230319127493645,0.00129157655512945,0.00157819827770075,0.00160678428383549,0.00397917016088223,0.000977116767324999,0.000873512161764045
"235","3D13_contig_30",8.61295927139499e-05,0.000100437167702273,9.90043096171877e-05,9.80133807519868e-05,0.000495392584070673,8.0886852074071e-05,6.15371076589929e-05
"236","3D13_contig_31",0.000177236684318635,0.000222590479772606,0.000198008619234375,0.000193212075929061,0.000475729210972738,0.000284061852875915,0.000169823570090144
"237","3D13_contig_32",0.000348975307757592,0.000239863276010565,0.000177579693402596,0.000133521200554799,0.000429228742252558,0.000121612020730363,9.8739760325723e-05
"238","3D13_contig_33",9.83609671999565e-05,0.000149298492530406,8.68813329293688e-05,7.47596131074538e-05,0.00029845973276959,0.000106051650497115,8.81721650702844e-05
